epoch,step,test_loss,train_accuracy,train_f1_score,train_loss,val_loss
0,749,,,,,0.2671284079551697
0,749,,0.878291666507721,0.878291666507721,0.4584707021713257,
1,1499,,,,,0.2095346301794052
1,1499,,0.9340833425521851,0.9340833425521851,0.23025117814540863,
2,2249,,,,,0.17111551761627197
2,2249,,0.9490625262260437,0.9490625262260437,0.1765580028295517,
3,2999,,,,,0.1531296968460083
3,2999,,0.9571666717529297,0.9571666717529297,0.14413003623485565,
4,3749,,,,,0.139423206448555
4,3749,,0.9649583101272583,0.9649583101272583,0.1220642477273941,
5,3750,,,,,0.1394232213497162
5,3750,0.12970635294914246,,,,
